id,clv_decile,churn_risk,current_bb_speed,network_activity,account_tenure,time_of_last_broadband_upgrade,broadband_type,customer_segment
41,4,0,500mb,light,39,2021-04-17,Fiber,Settled Simplifiers
42,9,0,500mb,heavy,49,2024-07-15,Fiber,Peak Performers
43,3,0,Copper,medium,20,2025-05-31,Copper,Foolproof Followers
44,7,0,1Gig,medium,100,2025-05-01,Fiber,Foolproof Followers
45,8,0,7Gig,light,37,2020-05-09,Fiber,Budget Balancers
46,8,0,1Gig,light,42,2018-10-23,Fiber,Settled Simplifiers
47,7,0,1Gig,medium,92,2016-02-15,Fiber,Peak Performers
48,4,0,5Gig,medium,10,2024-09-26,Fiber,Settled Simplifiers
49,10,0,500mb,medium,93,2025-06-23,Fiber,Settled Simplifiers
50,4,0,2Gig,light,90,2023-11-22,Fiber,Budget Balancers
51,9,0,500mb,light,101,2021-11-18,Fiber,Settled Simplifiers
52,10,0,500mb,medium,56,2023-10-19,Fiber,Peak Performers
53,8,0,1Gig,heavy,36,2019-02-21,Fiber,Budget Balancers
54,9,0,500mb,medium,74,2024-03-29,Fiber,Foolproof Followers
55,4,0,1Gig,heavy,98,2022-02-15,Fiber,Foolproof Followers
56,10,0,5Gig,light,19,2019-03-05,Fiber,Budget Balancers
57,6,0,2Gig,heavy,15,2019-09-22,Fiber,Settled Simplifiers
58,7,0,1Gig,light,56,2025-05-26,Fiber,Settled Simplifiers
59,4,0,500mb,heavy,80,2016-03-13,Fiber,Settled Simplifiers
60,4,0,500mb,light,86,2023-10-01,Fiber,Foolproof Followers
61,5,0,500mb,light,118,2023-08-04,Fiber,Peak Performers
62,9,0,500mb,medium,40,2017-03-14,Fiber,Settled Simplifiers
63,6,0,500mb,light,99,2025-03-12,Fiber,Settled Simplifiers
64,6,0,1Gig,medium,92,2018-10-28,Fiber,Foolproof Followers
65,1,0,500mb,medium,42,2016-01-03,Fiber,Foolproof Followers
66,2,0,500mb,medium,54,2017-10-08,Fiber,Settled Simplifiers
67,6,0,500mb,medium,85,2018-08-14,Fiber,Aspirational Adopters
68,5,0,500mb,light,38,2024-12-06,Fiber,Peak Performers
69,7,0,1Gig,light,17,2016-10-05,Fiber,Peak Performers
70,4,0,1Gig,medium,67,2020-03-18,Fiber,Settled Simplifiers
71,1,0,500mb,heavy,46,2019-05-08,Fiber,Settled Simplifiers
72,8,0,1Gig,heavy,74,2024-09-17,Fiber,Budget Balancers
73,3,0,500mb,medium,12,2022-02-12,Fiber,Settled Simplifiers
74,6,0,500mb,medium,111,2025-01-12,Fiber,Settled Simplifiers
75,1,0,500mb,light,33,2016-09-15,Fiber,Settled Simplifiers
76,3,0,500mb,medium,12,2025-07-02,Fiber,Peak Performers
77,10,0,2Gig,medium,29,2021-10-20,Fiber,Settled Simplifiers
78,10,0,1Gig,heavy,79,2024-06-29,Fiber,Budget Balancers
79,9,0,Copper,medium,116,2022-02-24,Copper,Settled Simplifiers
80,7,0,500mb,light,43,2016-03-07,Fiber,Foolproof Followers
81,5,0,1Gig,medium,40,2018-01-07,Fiber,Foolproof Followers
82,9,0,500mb,medium,48,2023-04-15,Fiber,Settled Simplifiers
83,10,0,500mb,medium,55,2019-03-02,Fiber,Settled Simplifiers
84,2,0,500mb,medium,31,2020-10-24,Fiber,Settled Simplifiers
85,6,0,7Gig,medium,33,2017-01-14,Fiber,Peak Performers
86,6,0,500mb,light,86,2024-11-06,Fiber,Settled Simplifiers
87,10,0,500mb,medium,88,2018-08-03,Fiber,Peak Performers
88,9,0,1Gig,medium,21,2024-08-17,Fiber,Settled Simplifiers
89,5,0,500mb,heavy,9,2020-09-29,Fiber,Peak Performers
90,8,1,2Gig,medium,77,2024-10-07,Fiber,Settled Simplifiers
91,7,0,500mb,medium,113,2016-05-15,Fiber,Peak Performers
92,8,0,5Gig,medium,25,2021-07-27,Fiber,Peak Performers
93,9,0,500mb,heavy,71,2025-01-05,Fiber,Foolproof Followers
94,9,0,500mb,medium,67,2016-06-29,Fiber,Peak Performers
95,9,0,500mb,light,49,2017-06-20,Fiber,Settled Simplifiers
96,10,0,500mb,light,2,2020-01-09,Fiber,Settled Simplifiers
97,2,0,1Gig,heavy,29,2016-09-16,Fiber,Budget Balancers
98,4,0,5Gig,light,72,2019-09-24,Fiber,Settled Simplifiers
99,8,0,500mb,light,67,2021-12-08,Fiber,Settled Simplifiers
100,5,0,500mb,medium,56,2017-01-07,Fiber,Settled Simplifiers
101,8,0,500mb,medium,4,2018-04-18,Fiber,Foolproof Followers
102,4,0,Copper,medium,85,2017-03-21,Copper,Peak Performers
103,1,0,Copper,light,78,2022-11-30,Copper,Peak Performers
104,5,0,2Gig,heavy,6,2023-02-07,Fiber,Budget Balancers
105,8,0,Copper,medium,102,2023-09-13,Copper,Aspirational Adopters
106,1,0,1Gig,light,72,2025-07-27,Fiber,Settled Simplifiers
107,7,0,1Gig,medium,87,2016-03-21,Fiber,Foolproof Followers
108,6,0,1Gig,heavy,118,2024-01-11,Fiber,Foolproof Followers
109,2,0,1Gig,light,33,2016-05-09,Fiber,Foolproof Followers
110,7,1,500mb,light,87,2021-11-06,Fiber,Settled Simplifiers
111,9,0,500mb,medium,27,2016-11-07,Fiber,Peak Performers
112,4,0,1Gig,light,89,2019-12-04,Fiber,Settled Simplifiers
113,9,0,500mb,medium,63,2025-08-25,Fiber,Peak Performers
114,1,0,1Gig,medium,105,2024-11-08,Fiber,Peak Performers
115,1,0,7Gig,medium,47,2022-10-28,Fiber,Foolproof Followers
116,7,0,500mb,medium,47,2018-08-08,Fiber,Peak Performers
117,10,0,5Gig,light,52,2024-10-30,Fiber,Settled Simplifiers
118,2,0,500mb,medium,49,2023-06-15,Fiber,Budget Balancers
119,3,0,1Gig,medium,23,2018-06-15,Fiber,Aspirational Adopters
120,9,0,Copper,light,71,2017-08-08,Copper,Peak Performers
121,7,0,7Gig,medium,47,2019-03-11,Fiber,Foolproof Followers
122,3,0,500mb,heavy,87,2018-08-05,Fiber,Settled Simplifiers
123,8,0,5Gig,heavy,37,2025-02-06,Fiber,Budget Balancers
124,7,0,1Gig,light,70,2024-02-12,Fiber,Foolproof Followers
125,8,0,500mb,medium,102,2018-04-25,Fiber,Aspirational Adopters
126,7,0,1Gig,medium,23,2022-01-29,Fiber,Settled Simplifiers
127,2,0,5Gig,medium,90,2020-03-17,Fiber,Aspirational Adopters
128,8,0,1Gig,medium,36,2019-12-25,Fiber,Settled Simplifiers
129,8,0,1Gig,medium,59,2018-12-14,Fiber,Settled Simplifiers
130,3,0,500mb,medium,116,2025-04-08,Fiber,Foolproof Followers
131,1,0,5Gig,light,37,2021-02-01,Fiber,Settled Simplifiers
132,1,0,500mb,medium,84,2021-02-01,Fiber,Foolproof Followers
133,3,0,1Gig,medium,84,2022-03-04,Fiber,Settled Simplifiers
134,2,0,7Gig,heavy,74,2023-08-22,Fiber,Peak Performers
135,5,0,500mb,medium,55,2019-03-14,Fiber,Settled Simplifiers
136,9,0,Copper,light,30,2025-04-04,Copper,Peak Performers
137,1,0,500mb,heavy,21,2024-02-24,Fiber,Settled Simplifiers
138,10,0,1Gig,light,42,2021-09-17,Fiber,Settled Simplifiers
139,6,0,500mb,medium,108,2022-05-25,Fiber,Settled Simplifiers
140,8,0,2Gig,medium,80,2017-12-05,Fiber,Budget Balancers
141,10,0,1Gig,light,81,2022-10-04,Fiber,Foolproof Followers
142,9,0,500mb,medium,59,2024-07-10,Fiber,Foolproof Followers
143,6,0,500mb,light,25,2023-11-22,Fiber,Peak Performers
144,4,0,1Gig,light,76,2024-12-17,Fiber,Peak Performers
145,7,0,1Gig,medium,43,2017-12-07,Fiber,Settled Simplifiers
146,1,0,7Gig,medium,65,2018-09-06,Fiber,Settled Simplifiers
147,4,0,500mb,medium,56,2019-05-08,Fiber,Settled Simplifiers
148,6,0,1Gig,light,26,2024-12-21,Fiber,Foolproof Followers
149,8,0,Copper,medium,9,2018-11-09,Copper,Budget Balancers
150,9,0,1Gig,light,64,2020-07-21,Fiber,Settled Simplifiers
151,6,0,7Gig,heavy,35,2016-03-29,Fiber,Budget Balancers
152,6,0,2Gig,medium,6,2017-03-25,Fiber,Foolproof Followers
153,2,0,7Gig,heavy,117,2016-04-16,Fiber,Settled Simplifiers
154,9,1,7Gig,heavy,29,2023-04-23,Fiber,Settled Simplifiers
155,10,0,7Gig,heavy,90,2023-07-04,Fiber,Peak Performers
156,2,0,500mb,heavy,40,2021-04-25,Fiber,Budget Balancers
157,6,0,5Gig,light,79,2022-03-19,Fiber,Settled Simplifiers
158,8,0,7Gig,heavy,53,2021-01-24,Fiber,Settled Simplifiers
159,10,0,500mb,medium,76,2018-07-31,Fiber,Foolproof Followers
160,8,0,500mb,medium,86,2022-07-30,Fiber,Foolproof Followers
161,10,0,1Gig,medium,74,2019-06-15,Fiber,Settled Simplifiers
162,8,0,500mb,light,52,2024-08-24,Fiber,Peak Performers
163,4,0,500mb,heavy,50,2018-09-20,Fiber,Foolproof Followers
164,6,0,500mb,medium,105,2016-08-03,Fiber,Peak Performers
165,4,0,1Gig,medium,31,2019-08-08,Fiber,Foolproof Followers
166,6,0,Copper,medium,45,2022-11-24,Copper,Budget Balancers
167,6,0,Copper,medium,22,2019-07-08,Copper,Settled Simplifiers
168,3,0,1Gig,medium,10,2020-06-28,Fiber,Settled Simplifiers
169,3,0,500mb,medium,9,2024-03-24,Fiber,Settled Simplifiers
170,7,0,500mb,medium,69,2021-10-21,Fiber,Settled Simplifiers
171,2,0,500mb,medium,14,2019-08-22,Fiber,Aspirational Adopters
172,8,0,500mb,medium,17,2024-05-30,Fiber,Peak Performers
173,9,0,1Gig,light,16,2019-12-01,Fiber,Foolproof Followers
174,7,0,1Gig,medium,23,2021-11-25,Fiber,Settled Simplifiers
175,9,0,2Gig,heavy,99,2024-05-06,Fiber,Settled Simplifiers
176,8,0,500mb,medium,35,2025-05-29,Fiber,Settled Simplifiers
177,1,0,Copper,heavy,118,2020-11-07,Copper,Settled Simplifiers
178,6,0,7Gig,heavy,7,2024-10-04,Fiber,Settled Simplifiers
179,2,0,500mb,medium,69,2017-07-20,Fiber,Settled Simplifiers
180,6,0,1Gig,heavy,52,2016-10-08,Fiber,Foolproof Followers
181,2,0,500mb,medium,58,2018-09-12,Fiber,Foolproof Followers
182,2,0,1Gig,medium,108,2025-04-23,Fiber,Settled Simplifiers
183,8,0,2Gig,medium,48,2016-10-22,Fiber,Budget Balancers
184,5,0,1Gig,medium,22,2016-04-16,Fiber,Settled Simplifiers
185,1,0,1Gig,light,18,2019-07-18,Fiber,Aspirational Adopters
186,9,0,1Gig,light,102,2021-06-29,Fiber,Budget Balancers
187,9,0,500mb,medium,106,2019-09-05,Fiber,Foolproof Followers
188,7,0,2Gig,medium,74,2023-12-08,Fiber,Budget Balancers
189,3,0,500mb,heavy,59,2016-01-21,Fiber,Foolproof Followers
190,8,0,2Gig,light,107,2018-09-25,Fiber,Peak Performers
191,4,0,1Gig,medium,82,2024-05-19,Fiber,Foolproof Followers
192,10,0,500mb,light,66,2023-09-29,Fiber,Settled Simplifiers
193,7,0,1Gig,heavy,110,2021-01-25,Fiber,Peak Performers
194,9,0,500mb,medium,47,2021-11-10,Fiber,Peak Performers
195,7,0,2Gig,medium,67,2024-06-20,Fiber,Peak Performers
196,8,0,1Gig,light,83,2023-06-01,Fiber,Aspirational Adopters
197,8,0,Copper,medium,62,2017-02-19,Copper,Aspirational Adopters
198,8,0,1Gig,medium,48,2022-06-29,Fiber,Foolproof Followers
199,5,0,500mb,medium,111,2017-05-04,Fiber,Foolproof Followers
200,8,0,1Gig,medium,62,2022-03-18,Fiber,Budget Balancers
201,3,0,500mb,medium,33,2022-01-03,Fiber,Settled Simplifiers
202,2,0,500mb,medium,86,2016-10-20,Fiber,Settled Simplifiers
203,2,0,5Gig,medium,59,2017-08-07,Fiber,Foolproof Followers
204,4,0,500mb,light,3,2018-06-10,Fiber,Settled Simplifiers
205,10,0,1Gig,light,43,2017-12-07,Fiber,Settled Simplifiers
206,8,0,500mb,medium,55,2024-01-11,Fiber,Settled Simplifiers
207,3,0,500mb,light,74,2018-06-23,Fiber,Foolproof Followers
208,10,0,500mb,light,20,2024-10-25,Fiber,Settled Simplifiers
209,8,0,Copper,medium,85,2020-07-06,Copper,Peak Performers
210,1,1,5Gig,medium,81,2017-07-27,Fiber,Foolproof Followers
211,7,0,7Gig,light,112,2020-04-15,Fiber,Aspirational Adopters
212,3,0,500mb,medium,5,2024-04-05,Fiber,Foolproof Followers
213,7,0,1Gig,heavy,98,2017-01-05,Fiber,Peak Performers
214,8,0,1Gig,medium,91,2023-12-21,Fiber,Peak Performers
215,3,0,500mb,light,3,2024-10-08,Fiber,Budget Balancers
216,2,0,2Gig,heavy,73,2022-01-20,Fiber,Aspirational Adopters
217,4,0,1Gig,medium,60,2023-02-25,Fiber,Settled Simplifiers
218,4,0,500mb,light,23,2018-06-26,Fiber,Peak Performers
219,5,0,1Gig,light,48,2017-01-17,Fiber,Peak Performers
220,7,0,1Gig,light,114,2019-02-22,Fiber,Peak Performers
221,3,0,7Gig,medium,98,2023-06-30,Fiber,Foolproof Followers
222,1,0,500mb,medium,81,2022-10-19,Fiber,Settled Simplifiers
223,3,0,500mb,medium,48,2020-02-03,Fiber,Settled Simplifiers
224,9,0,1Gig,medium,37,2022-09-28,Fiber,Budget Balancers
225,8,0,1Gig,medium,44,2024-03-29,Fiber,Settled Simplifiers
226,8,0,Copper,medium,38,2020-01-17,Copper,Budget Balancers
227,3,0,1Gig,medium,11,2017-11-03,Fiber,Settled Simplifiers
228,4,0,Copper,medium,102,2025-10-07,Copper,Settled Simplifiers
229,10,0,500mb,heavy,56,2020-04-13,Fiber,Settled Simplifiers
230,8,0,1Gig,heavy,2,2020-09-27,Fiber,Settled Simplifiers
231,10,0,500mb,medium,44,2016-05-03,Fiber,Peak Performers
232,10,0,7Gig,heavy,39,2023-11-06,Fiber,Peak Performers
233,5,0,500mb,medium,28,2018-12-08,Fiber,Foolproof Followers
234,7,0,1Gig,medium,83,2018-06-26,Fiber,Foolproof Followers
235,2,0,500mb,medium,59,2016-01-08,Fiber,Settled Simplifiers
236,9,0,500mb,medium,70,2024-07-27,Fiber,Settled Simplifiers
237,2,0,2Gig,heavy,94,2025-02-02,Fiber,Settled Simplifiers
238,3,0,7Gig,medium,89,2022-05-02,Fiber,Settled Simplifiers
239,8,0,500mb,medium,21,2024-05-05,Fiber,Foolproof Followers
240,8,0,1Gig,medium,56,2025-05-17,Fiber,Foolproof Followers
241,5,0,1Gig,medium,62,2016-12-16,Fiber,Settled Simplifiers
242,2,0,2Gig,heavy,94,2016-03-01,Fiber,Settled Simplifiers
243,7,0,500mb,heavy,64,2017-12-09,Fiber,Peak Performers
244,6,0,5Gig,light,1,2018-11-20,Fiber,Budget Balancers
245,3,0,500mb,medium,98,2023-06-15,Fiber,Foolproof Followers
246,4,0,1Gig,light,81,2024-02-09,Fiber,Settled Simplifiers
247,6,0,2Gig,medium,66,2020-07-14,Fiber,Peak Performers
248,10,0,1Gig,medium,39,2018-03-13,Fiber,Foolproof Followers
249,8,0,2Gig,heavy,73,2024-04-21,Fiber,Budget Balancers
250,1,0,1Gig,light,114,2019-06-14,Fiber,Budget Balancers
251,8,0,500mb,light,26,2024-12-12,Fiber,Settled Simplifiers
252,7,0,500mb,light,40,2018-05-05,Fiber,Settled Simplifiers
253,7,0,2Gig,light,38,2021-02-17,Fiber,Peak Performers
254,4,0,1Gig,medium,17,2020-03-01,Fiber,Settled Simplifiers
255,7,0,500mb,medium,78,2022-06-29,Fiber,Settled Simplifiers
256,5,0,1Gig,medium,110,2019-05-04,Fiber,Settled Simplifiers
257,10,0,Copper,light,99,2022-07-06,Copper,Foolproof Followers
258,9,0,1Gig,light,109,2025-07-13,Fiber,Settled Simplifiers
259,8,0,1Gig,medium,111,2016-01-21,Fiber,Settled Simplifiers
260,6,0,500mb,heavy,20,2019-12-26,Fiber,Peak Performers
261,8,0,2Gig,medium,112,2017-04-05,Fiber,Peak Performers
262,1,0,7Gig,medium,6,2019-10-19,Fiber,Peak Performers
263,1,0,500mb,medium,56,2016-05-16,Fiber,Peak Performers
264,10,0,500mb,light,47,2018-07-14,Fiber,Aspirational Adopters
265,4,0,7Gig,medium,26,2021-08-15,Fiber,Budget Balancers
266,4,0,Copper,heavy,41,2022-03-21,Copper,Foolproof Followers
267,2,0,500mb,heavy,43,2017-04-05,Fiber,Budget Balancers
268,3,0,1Gig,heavy,37,2017-11-21,Fiber,Settled Simplifiers
269,3,0,500mb,light,117,2020-02-24,Fiber,Peak Performers
270,9,0,1Gig,medium,102,2023-12-30,Fiber,Settled Simplifiers
271,4,0,2Gig,medium,103,2017-02-25,Fiber,Foolproof Followers
272,4,0,1Gig,medium,11,2021-03-14,Fiber,Settled Simplifiers
273,10,0,1Gig,medium,76,2022-05-21,Fiber,Settled Simplifiers
274,5,0,5Gig,heavy,6,2020-10-27,Fiber,Aspirational Adopters
275,8,0,500mb,light,15,2025-05-07,Fiber,Settled Simplifiers
276,4,0,1Gig,medium,92,2024-07-25,Fiber,Foolproof Followers
277,3,0,7Gig,heavy,26,2025-05-22,Fiber,Settled Simplifiers
278,9,0,7Gig,heavy,59,2017-08-29,Fiber,Aspirational Adopters
279,8,1,500mb,light,35,2024-03-18,Fiber,Foolproof Followers
280,7,0,1Gig,heavy,60,2020-02-10,Fiber,Budget Balancers
281,5,0,2Gig,medium,5,2016-10-01,Fiber,Budget Balancers
282,10,0,500mb,heavy,87,2018-10-07,Fiber,Peak Performers
283,2,0,1Gig,heavy,85,2022-10-10,Fiber,Settled Simplifiers
284,2,0,500mb,medium,7,2024-02-26,Fiber,Aspirational Adopters
285,4,0,2Gig,heavy,13,2016-04-08,Fiber,Settled Simplifiers
286,6,0,500mb,medium,55,2017-05-03,Fiber,Settled Simplifiers
287,4,0,500mb,medium,21,2018-09-01,Fiber,Peak Performers
288,5,0,500mb,light,69,2021-08-03,Fiber,Settled Simplifiers
289,10,0,1Gig,light,102,2017-06-10,Fiber,Budget Balancers
290,4,0,500mb,heavy,100,2019-07-08,Fiber,Peak Performers
291,8,0,Copper,light,46,2019-11-11,Copper,Peak Performers
292,8,0,1Gig,medium,80,2017-07-06,Fiber,Settled Simplifiers
293,9,0,500mb,medium,20,2020-08-06,Fiber,Settled Simplifiers
294,5,0,2Gig,medium,52,2024-06-02,Fiber,Peak Performers
295,5,0,500mb,heavy,44,2019-09-29,Fiber,Budget Balancers
296,3,0,500mb,heavy,81,2023-09-25,Fiber,Peak Performers
297,6,0,500mb,heavy,99,2020-08-16,Fiber,Foolproof Followers
298,2,0,500mb,medium,87,2018-10-07,Fiber,Settled Simplifiers
299,4,0,1Gig,medium,23,2024-10-07,Fiber,Peak Performers
300,6,0,2Gig,heavy,38,2025-05-27,Fiber,Budget Balancers
301,2,0,500mb,medium,90,2018-08-14,Fiber,Budget Balancers
302,1,0,Copper,heavy,41,2021-10-08,Copper,Peak Performers
303,7,0,Copper,medium,44,2023-05-17,Copper,Budget Balancers
304,10,0,500mb,medium,83,2017-05-31,Fiber,Budget Balancers
305,10,0,1Gig,medium,9,2020-10-27,Fiber,Peak Performers
306,6,0,500mb,light,103,2020-03-17,Fiber,Settled Simplifiers
307,6,0,Copper,heavy,96,2020-04-30,Copper,Budget Balancers
308,6,1,Copper,light,80,2022-05-21,Copper,Budget Balancers
309,6,0,1Gig,heavy,41,2020-11-25,Fiber,Peak Performers
310,10,0,500mb,heavy,56,2020-12-10,Fiber,Aspirational Adopters
311,8,0,1Gig,medium,77,2019-06-16,Fiber,Settled Simplifiers
312,9,0,500mb,heavy,85,2019-06-28,Fiber,Settled Simplifiers
313,1,0,1Gig,heavy,68,2025-05-03,Fiber,Peak Performers
314,10,0,2Gig,heavy,80,2017-02-03,Fiber,Aspirational Adopters
315,2,0,500mb,light,119,2020-11-15,Fiber,Foolproof Followers
316,4,0,1Gig,medium,73,2024-01-14,Fiber,Peak Performers
317,5,0,2Gig,heavy,100,2024-11-16,Fiber,Foolproof Followers
318,3,0,500mb,heavy,10,2017-09-29,Fiber,Foolproof Followers
319,2,0,500mb,medium,102,2019-06-25,Fiber,Settled Simplifiers
320,7,0,7Gig,heavy,55,2017-03-09,Fiber,Peak Performers
321,10,0,500mb,light,67,2017-01-22,Fiber,Settled Simplifiers
322,5,0,Copper,heavy,22,2019-11-23,Copper,Settled Simplifiers
323,9,0,1Gig,light,20,2018-02-12,Fiber,Foolproof Followers
324,8,0,1Gig,medium,113,2023-04-30,Fiber,Peak Performers
325,4,0,1Gig,heavy,19,2018-07-20,Fiber,Settled Simplifiers
326,5,0,500mb,light,64,2023-06-26,Fiber,Aspirational Adopters
327,3,0,2Gig,heavy,116,2023-12-17,Fiber,Budget Balancers
328,6,0,1Gig,light,54,2025-10-28,Fiber,Peak Performers
329,9,1,500mb,medium,19,2019-04-19,Fiber,Settled Simplifiers
330,8,0,5Gig,light,29,2023-06-18,Fiber,Budget Balancers
331,5,0,1Gig,light,32,2018-05-05,Fiber,Budget Balancers
332,4,0,7Gig,medium,75,2020-07-06,Fiber,Settled Simplifiers
333,3,0,500mb,heavy,59,2025-02-01,Fiber,Foolproof Followers
334,5,0,1Gig,light,6,2025-10-02,Fiber,Peak Performers
335,3,0,500mb,medium,73,2023-02-13,Fiber,Settled Simplifiers
336,4,0,1Gig,light,73,2022-10-28,Fiber,Foolproof Followers
337,1,0,500mb,medium,39,2017-05-27,Fiber,Aspirational Adopters
338,3,0,2Gig,heavy,1,2025-05-16,Fiber,Foolproof Followers
339,5,0,1Gig,medium,55,2017-12-31,Fiber,Settled Simplifiers
340,1,0,1Gig,medium,71,2025-09-26,Fiber,Peak Performers
341,4,0,500mb,medium,87,2025-07-16,Fiber,Settled Simplifiers
342,4,0,Copper,light,116,2021-04-27,Copper,Settled Simplifiers
343,1,0,2Gig,medium,6,2017-04-24,Fiber,Peak Performers
344,7,0,7Gig,heavy,38,2022-12-11,Fiber,Settled Simplifiers
345,8,0,2Gig,medium,59,2022-09-19,Fiber,Peak Performers
346,10,0,1Gig,medium,41,2025-03-22,Fiber,Peak Performers
347,3,0,1Gig,light,79,2016-09-04,Fiber,Foolproof Followers
348,9,0,500mb,heavy,105,2025-07-05,Fiber,Peak Performers
349,4,0,500mb,medium,30,2016-08-24,Fiber,Settled Simplifiers
350,7,0,1Gig,medium,77,2023-03-28,Fiber,Settled Simplifiers
351,3,0,Copper,medium,109,2018-09-09,Copper,Peak Performers
352,6,0,7Gig,medium,80,2016-07-15,Fiber,Settled Simplifiers
353,5,0,500mb,medium,102,2024-10-31,Fiber,Foolproof Followers
354,8,1,2Gig,medium,75,2020-02-12,Fiber,Foolproof Followers
355,9,0,500mb,heavy,7,2019-08-03,Fiber,Foolproof Followers
356,5,0,500mb,light,102,2024-11-29,Fiber,Budget Balancers
357,4,0,1Gig,medium,14,2022-05-25,Fiber,Budget Balancers
358,8,0,1Gig,medium,67,2025-09-12,Fiber,Budget Balancers
359,2,0,1Gig,medium,74,2021-04-29,Fiber,Foolproof Followers
360,8,0,2Gig,medium,100,2018-05-21,Fiber,Aspirational Adopters
361,10,0,1Gig,medium,89,2023-09-10,Fiber,Settled Simplifiers
362,7,0,2Gig,medium,83,2018-02-01,Fiber,Settled Simplifiers
363,5,0,500mb,light,32,2021-08-12,Fiber,Budget Balancers
364,9,0,1Gig,heavy,37,2017-05-12,Fiber,Foolproof Followers
365,1,0,1Gig,light,24,2024-09-08,Fiber,Settled Simplifiers
366,10,0,500mb,medium,108,2018-05-26,Fiber,Settled Simplifiers
367,5,0,500mb,heavy,25,2024-12-30,Fiber,Budget Balancers
368,10,0,5Gig,medium,36,2021-01-26,Fiber,Aspirational Adopters
369,2,0,Copper,light,66,2023-08-22,Copper,Aspirational Adopters
370,7,0,500mb,heavy,74,2020-11-17,Fiber,Settled Simplifiers
371,4,0,500mb,light,74,2018-08-26,Fiber,Foolproof Followers
372,6,0,Copper,medium,50,2023-02-15,Copper,Foolproof Followers
373,6,0,500mb,medium,21,2020-02-16,Fiber,Peak Performers
374,3,0,1Gig,light,26,2018-09-02,Fiber,Settled Simplifiers
375,2,0,500mb,heavy,94,2020-06-20,Fiber,Settled Simplifiers
376,5,0,500mb,light,98,2023-03-01,Fiber,Settled Simplifiers
377,9,0,5Gig,light,28,2017-04-25,Fiber,Settled Simplifiers
378,10,0,500mb,medium,31,2025-06-02,Fiber,Foolproof Followers
379,5,0,2Gig,medium,41,2016-07-25,Fiber,Foolproof Followers
380,3,0,500mb,light,108,2021-08-23,Fiber,Foolproof Followers
381,8,0,2Gig,heavy,83,2023-06-29,Fiber,Foolproof Followers
382,9,0,500mb,medium,106,2017-12-02,Fiber,Budget Balancers
